phase,stage_id,parent_id,stage,arm,id,family,tau,x,slot,target,z_before,increment,z_after,r,u,pure,cross,residual,abs_residual,status,program_sha256
A,P00_W0,P00,W0,common,UNIFORM:t=1/64:x=1/64:s=0,UNIFORM,1/64,1/64,0,1.015625,1.0,0.00778221853731870654582665378797139139179953820107167349207404865798436890175,1.00778221853731870654582665378797139139179953820107167349207404865798436296,0.015625,0.0,0.0,0.0,-1.81113581576534247350182385817755835613650623962782763791652297798710026372e-71,1.81113581576534247350182385817755835613650623962782763791652297798710026372e-71,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,UNIFORM:t=1/64:x=1/64:s=1,UNIFORM,1/64,1/64,1,0.984375,1.0,-0.00784325835077852856189409238527734035865280634408118236187457779959919128298,0.99215674164922147143810590761472265964134719365591881763812542220040080801,-0.015625,0.0,0.0,0.0,0.0,0.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,UNIFORM:t=1/64:x=1/16:s=0,UNIFORM,1/64,1/16,0,1.015625,1.0,0.00778221853731870654582665378797139139179953820107167349207404865798436890175,1.00778221853731870654582665378797139139179953820107167349207404865798436296,0.015625,0.0,0.0,0.0,-1.81113581576534247350182385817755835613650623962782763791652297798710026372e-71,1.81113581576534247350182385817755835613650623962782763791652297798710026372e-71,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,UNIFORM:t=1/64:x=1/16:s=1,UNIFORM,1/64,1/16,1,0.984375,1.0,-0.00784325835077852856189409238527734035865280634408118236187457779959919128298,0.99215674164922147143810590761472265964134719365591881763812542220040080801,-0.015625,0.0,0.0,0.0,0.0,0.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,UNIFORM:t=1/64:x=1/8:s=0,UNIFORM,1/64,1/8,0,1.015625,1.0,0.00778221853731870654582665378797139139179953820107167349207404865798436890175,1.00778221853731870654582665378797139139179953820107167349207404865798436296,0.015625,0.0,0.0,0.0,-1.81113581576534247350182385817755835613650623962782763791652297798710026372e-71,1.81113581576534247350182385817755835613650623962782763791652297798710026372e-71,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,UNIFORM:t=1/64:x=1/8:s=1,UNIFORM,1/64,1/8,1,0.984375,1.0,-0.00784325835077852856189409238527734035865280634408118236187457779959919128298,0.99215674164922147143810590761472265964134719365591881763812542220040080801,-0.015625,0.0,0.0,0.0,0.0,0.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,UNIFORM:t=1/64:x=1/4:s=0,UNIFORM,1/64,1/4,0,1.015625,1.0,0.00778221853731870654582665378797139139179953820107167349207404865798436890175,1.00778221853731870654582665378797139139179953820107167349207404865798436296,0.015625,0.0,0.0,0.0,-1.81113581576534247350182385817755835613650623962782763791652297798710026372e-71,1.81113581576534247350182385817755835613650623962782763791652297798710026372e-71,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,UNIFORM:t=1/64:x=1/4:s=1,UNIFORM,1/64,1/4,1,0.984375,1.0,-0.00784325835077852856189409238527734035865280634408118236187457779959919128298,0.99215674164922147143810590761472265964134719365591881763812542220040080801,-0.015625,0.0,0.0,0.0,0.0,0.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,UNIFORM:t=1/64:x=1/2:s=0,UNIFORM,1/64,1/2,0,1.015625,1.0,0.00778221853731870654582665378797139139179953820107167349207404865798436890175,1.00778221853731870654582665378797139139179953820107167349207404865798436296,0.015625,0.0,0.0,0.0,-1.81113581576534247350182385817755835613650623962782763791652297798710026372e-71,1.81113581576534247350182385817755835613650623962782763791652297798710026372e-71,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
A,P00_W0,P00,W0,common,UNIFORM:t=1/64:x=1/2:s=1,UNIFORM,1/64,1/2,1,0.984375,1.0,-0.00784325835077852856189409238527734035865280634408118236187457779959919128298,0.99215674164922147143810590761472265964134719365591881763812542220040080801,-0.015625,0.0,0.0,0.0,0.0,0.0,APPLIED,9753334f085fa4d2f357184e05490c4fee7ddbd0bde064f222c04092c9672bef
