representation,k,silhouette,inertia
raw_ab,2,0.21372127532958984,28.905248641967773
raw_ab,3,0.16829335689544678,27.188762664794922
raw_ab,4,0.1288219541311264,25.904098510742188
raw_ab,5,0.1277903914451599,24.759136199951172
raw_ab,6,0.11371452361345291,24.186023712158203
raw_ab,7,0.12722142040729523,23.81440544128418
raw_ab,8,0.08639578521251678,23.221328735351562
raw_ab,9,0.04843715578317642,22.548057556152344
raw_ab,10,0.03373301774263382,21.990074157714844
raw_ab,11,0.06117589399218559,21.38853645324707
raw_ab,12,0.006210926920175552,20.954532623291016
raw_ab,13,0.09915828704833984,20.356868743896484
raw_ab,14,0.09916737675666809,19.92867660522461
raw_ab,15,0.06407799571752548,19.299230575561523
raw_ab,16,0.04003824293613434,19.2847900390625
raw_ab,17,0.03680195286870003,18.596710205078125
raw_ab,18,0.05480581149458885,18.177000045776367
raw_ab,19,0.042835939675569534,17.974336624145508
raw_ab,20,0.10457925498485565,17.20606231689453
amplitude,2,0.0365518219769001,0.06719592958688736
amplitude,3,0.013192626647651196,0.06617230176925659
amplitude,4,0.00394785962998867,0.06515960395336151
amplitude,5,0.00043091733823530376,0.06422419100999832
amplitude,6,0.008318314328789711,0.06299582123756409
amplitude,7,0.008863487280905247,0.062192074954509735
amplitude,8,-0.019944973289966583,0.06137320399284363
amplitude,9,-0.01693321205675602,0.060433998703956604
amplitude,10,-0.005584409926086664,0.05968495085835457
amplitude,11,-0.010953813791275024,0.058725785464048386
amplitude,12,-0.03227848932147026,0.058005090802907944
amplitude,13,-0.01966259628534317,0.05711838975548744
amplitude,14,-0.033879999071359634,0.056063201278448105
amplitude,15,-0.017798740416765213,0.055346645414829254
amplitude,16,-0.021326245740056038,0.05428081750869751
amplitude,17,-0.010764124803245068,0.053621500730514526
amplitude,18,-0.023756343871355057,0.052777837961912155
amplitude,19,-0.020153366029262543,0.05228140205144882
amplitude,20,-0.05581114441156387,0.05143339931964874
phase_cos_sin,2,0.22328290343284607,28.733558654785156
phase_cos_sin,3,0.17717905342578888,26.91729736328125
phase_cos_sin,4,0.1365310698747635,25.61560821533203
phase_cos_sin,5,0.12608656287193298,24.36733627319336
phase_cos_sin,6,0.049216970801353455,23.842853546142578
phase_cos_sin,7,0.06935907155275345,23.472017288208008
phase_cos_sin,8,0.10064513236284256,22.71875
phase_cos_sin,9,0.08358537405729294,21.94553565979004
phase_cos_sin,10,0.09218806028366089,21.77225685119629
phase_cos_sin,11,0.05825461447238922,21.055395126342773
phase_cos_sin,12,0.08502715826034546,20.56550407409668
phase_cos_sin,13,0.07604490965604782,20.193727493286133
phase_cos_sin,14,0.12623710930347443,19.5197811126709
phase_cos_sin,15,0.07130196690559387,18.84715461730957
phase_cos_sin,16,0.09295721352100372,18.487327575683594
phase_cos_sin,17,0.09221935272216797,17.908296585083008
phase_cos_sin,18,0.05265531688928604,17.833396911621094
phase_cos_sin,19,0.00871221348643303,17.29900550842285
phase_cos_sin,20,0.029665322974324226,17.005237579345703
