generation,strict_test_ppl,strict_distinct_3,partial_test_ppl,partial_distinct_3
0,36.35396044589541,None,36.49998027440474,None
1,78.21752306592,0.5474797891714283,61.054964231953676,0.3407402318254537
2,103.60991609407311,0.4112047813177266,48.8548817863095,0.3877770184516255
3,88.16047280745187,0.3205668808949118,47.52006793062791,0.3961967316276966
4,nan,0.29509016562233403,48.899849332311454,0.31809267831367277
5,57.19244027594897,0.2948059360730594,47.3225659060895,0.36281344600790827
6,53.776201935061316,0.29044460771659486,45.89063733461977,0.3981006034642958
7,52.61835004440939,0.2859382064807837,44.32058768577901,0.48175839056001546
8,53.87095854082702,0.2564582020690636,43.42914095187752,0.5737751804219537
9,53.98047456228254,0.24315325406694138,43.64867485405184,0.5598346886572748
