g,r,v,z_plus,z_minus,p_plus,p_minus,abs_E_plus,abs_E_minus,worst_case,identity
0.16172,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.18193735840000003,0.1172493584,0.18193735840000003,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.16216,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.18304786560000003,0.1181838656,0.18304786560000003,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.1626,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.18415876000000003,0.11911875999999999,0.18415876000000003,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.16304,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.1852700416,0.1200540416,0.1852700416,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.16348,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.18638171039999996,0.12098971039999995,0.18638171039999996,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.16392,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.18749376640000004,0.12192576640000002,0.18749376640000004,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.16436000000000003,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.18860620960000007,0.12286220960000005,0.18860620960000007,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.16480000000000003,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.18971904000000012,0.12379904000000008,0.18971904000000012,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.16524000000000003,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.19083225760000005,0.12473625760000001,0.19083225760000005,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.16568000000000002,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.1919458624000001,0.12567386240000006,0.1919458624000001,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.16612000000000002,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.19305985440000006,0.12661185440000006,0.19305985440000006,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.16656,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.19417423360000002,0.1275502336,0.19417423360000002,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.167,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.19528900000000005,0.12848900000000002,0.19528900000000005,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.16744,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.19640415360000002,0.12942815359999998,0.19640415360000002,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.16788,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.19751969440000006,0.1303676944,0.19751969440000006,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.16832,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.1986356224,0.1313076224,0.1986356224,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.16876,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.19975193759999998,0.13224793759999998,0.19975193759999998,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.1692,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.20086864,0.13318863999999997,0.20086864,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.16964,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.20198572960000005,0.13412972960000002,0.20198572960000005,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.17008,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.20310320640000007,0.13507120640000003,0.20310320640000007,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.17052000000000003,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.2042210704000001,0.13601307040000005,0.2042210704000001,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.17096000000000003,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.20533932160000012,0.13695532160000007,0.20533932160000012,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.17140000000000002,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.2064579600000001,0.13789796000000004,0.2064579600000001,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.17184000000000002,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.20757698560000004,0.13884098560000002,0.20757698560000004,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.17228000000000002,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.2086963984000001,0.13978439840000006,0.2086963984000001,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.17272,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.20981619840000004,0.1407281984,0.20981619840000004,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.17316,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.21093638560000005,0.1416723856,0.21093638560000005,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.1736,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.21205696000000002,0.14261696000000001,0.21205696000000002,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.17404,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.2131779216,0.14356192159999998,0.2131779216,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.17448,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.21429927040000002,0.1445072704,0.21429927040000002,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.17492,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.2154210064,0.14545300639999997,0.2154210064,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.17536000000000002,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.21654312960000005,0.1463991296,0.21654312960000005,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.1758,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.21766564000000005,0.14734564000000006,0.21766564000000005,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.17624,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.21878853760000005,0.1482925376,0.21878853760000005,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.17668,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.2199118224,0.1492398224,0.2199118224,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.17712000000000003,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.2210354944000001,0.15018749440000007,0.2210354944000001,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.17756000000000002,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.22215955360000011,0.15113555360000003,0.22215955360000011,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
0.17800000000000002,0.2,0.1,1.1,0.9,1.4100000000000001,1.01,0.22328400000000004,0.152084,0.22328400000000004,DETERMINISTIC_ANALYTIC_ILLUSTRATION_NOT_EMPIRICAL_SAMPLE
