sigma,T_eff,u_max,u_mean,p_u0_measured,p_u0_predicted,p_u1_measured,p_u1_predicted,p_u2_measured,p_u2_predicted,p_clamped,p_in_between,phase_mean_R_per_doc
0.1,0.005,2.407518148422241,1.8838727474212646,7.455008370535715e-05,0.005808439353810814,0.14644252232142857,0.5823839326296641,0.8527866908482142,0.411807628016525,0.0,0.0006962367466518682,0.18957141041755676
0.3,0.045,18.0,1.60982346534729,0.012296404157366072,0.01722521483003915,0.3631644112723214,0.5756961403942582,0.40786612374441966,0.4070786447757027,0.0042423793247767854,0.2124306815011161,0.18425080180168152
0.5,0.125,18.0,9.895560264587402,0.05400565011160714,0.028382758640036077,0.24592372349330358,0.5691602025531339,0.041163853236607144,0.40245703880683,0.5252685546875,0.13363821847098212,0.05269581079483032
0.7,0.245,18.0,17.645111083984375,0.0034585135323660712,0.03928980092142337,0.008205740792410715,0.562771005110074,0.0011696951729910714,0.3979391939685026,0.9794298444475447,0.0077362060546875,0.0033996638376265764
