9.38.832.450 I srv        update:    - prompt 0x57a7a8bc43f0:     477 tokens, checkpoints:  0,     0.000 MiB
9.38.832.450 I srv        update:    - prompt 0x57a7a899f5c0:     492 tokens, checkpoints:  0,     0.000 MiB
9.38.832.451 I srv        update:    - prompt 0x57a7accfcde0:     428 tokens, checkpoints:  0,     0.000 MiB
9.38.832.451 I srv        update:    - prompt 0x57a7a9163ba0:     392 tokens, checkpoints:  0,     0.000 MiB
9.38.832.451 I srv        update:    - prompt 0x57a7a8bf6a30:     493 tokens, checkpoints:  0,     0.000 MiB
9.38.832.451 I srv        update:    - prompt 0x57a7a907a3b0:     407 tokens, checkpoints:  0,     0.000 MiB
9.38.832.452 I srv        update:    - prompt 0x57a7a8851bb0:     376 tokens, checkpoints:  0,     0.000 MiB
9.38.832.452 I srv        update:    - prompt 0x57a7aa591600:     417 tokens, checkpoints:  0,     0.000 MiB
9.38.832.452 I srv        update:    - prompt 0x57a7a8ae1020:     388 tokens, checkpoints:  0,     0.000 MiB
9.38.832.452 I srv        update:    - prompt 0x57a7a8a02440:     370 tokens, checkpoints:  0,     0.000 MiB
9.38.832.452 I srv        update:    - prompt 0x57a7ab75ab60:     413 tokens, checkpoints:  0,     0.000 MiB
9.38.832.452 I srv        update:    - prompt 0x57a7acd36890:     391 tokens, checkpoints:  0,     0.000 MiB
9.38.832.453 I srv        update:    - prompt 0x57a7a8ad4d40:     397 tokens, checkpoints:  0,     0.000 MiB
9.38.832.454 I srv        update:    - prompt 0x57a7a8bbe320:     387 tokens, checkpoints:  0,     0.000 MiB
9.38.832.454 I srv        update:    - prompt 0x57a7acc5c7b0:     369 tokens, checkpoints:  0,     0.000 MiB
9.38.832.454 I srv        update:    - prompt 0x57a7a8c53450:     422 tokens, checkpoints:  0,     0.000 MiB
9.38.832.454 I srv        update:    - prompt 0x57a7a3e4ce60:     413 tokens, checkpoints:  0,     0.000 MiB
9.38.832.455 I srv        update:    - prompt 0x57a7acca76f0:     451 tokens, checkpoints:  0,     0.000 MiB
9.38.832.455 I srv        update:    - prompt 0x57a7a8bc1d30:     447 tokens, checkpoints:  0,     0.000 MiB
9.38.832.456 I srv        update:    - prompt 0x57a7a8a0bf40:     426 tokens, checkpoints:  0,     0.000 MiB
9.38.832.456 I srv        update:    - prompt 0x57a7a8c12800:     461 tokens, checkpoints:  0,     0.000 MiB
9.38.832.456 I srv        update:    - prompt 0x57a7aa4dac10:     428 tokens, checkpoints:  0,     0.000 MiB
9.38.832.456 I srv        update:    - prompt 0x57a7a9135ec0:     471 tokens, checkpoints:  0,     0.000 MiB
9.38.832.456 I srv        update:    - prompt 0x57a7a8ad4620:     509 tokens, checkpoints:  0,     0.000 MiB
9.38.832.457 I srv        update:    - prompt 0x57a7a9bc1f90:     472 tokens, checkpoints:  0,     0.000 MiB
9.38.832.457 I srv        update:    - prompt 0x57a7a8a86e80:     451 tokens, checkpoints:  0,     0.000 MiB
9.38.832.457 I srv        update:    - prompt 0x57a7accda1b0:     393 tokens, checkpoints:  0,     0.000 MiB
9.38.832.458 I srv        update:    - prompt 0x57a7accae9a0:     450 tokens, checkpoints:  0,     0.000 MiB
9.38.832.459 I srv        update:    - prompt 0x57a7acd26ae0:     460 tokens, checkpoints:  0,     0.000 MiB
9.38.832.459 I srv        update:    - prompt 0x57a7a8bc8270:     477 tokens, checkpoints:  0,     0.000 MiB
9.38.832.459 I srv        update:    - prompt 0x57a7acc99050:     407 tokens, checkpoints:  0,     0.000 MiB
9.38.832.459 I srv        update:    - prompt 0x57a7acc375d0:     413 tokens, checkpoints:  0,     0.000 MiB
9.38.832.459 I srv        update:    - prompt 0x57a7a8c485b0:     459 tokens, checkpoints:  0,     0.000 MiB
9.38.832.459 I srv        update:    - prompt 0x57a7a8ad4530:     465 tokens, checkpoints:  0,     0.000 MiB
9.38.832.460 I srv        update:    - prompt 0x57a7a9106710:     474 tokens, checkpoints:  0,     0.000 MiB
9.38.832.460 I srv        update:    - prompt 0x57a7acca3ff0:     407 tokens, checkpoints:  0,     0.000 MiB
9.38.832.460 I srv        update:    - prompt 0x57a7aa563c10:     455 tokens, checkpoints:  0,     0.000 MiB
9.38.832.460 I srv        update:    - prompt 0x57a79a0b7670:     439 tokens, checkpoints:  0,     0.000 MiB
9.38.832.460 I srv        update:    - prompt 0x57a7aa4f7730:     368 tokens, checkpoints:  0,     0.000 MiB
9.38.832.461 I srv        update:    - prompt 0x57a7a9969da0:      72 tokens, checkpoints:  0,     0.000 MiB
9.38.832.461 I srv        update:    - prompt 0x57a7a8a8bcb0:     476 tokens, checkpoints:  0,     0.000 MiB
9.38.832.461 I srv        update:    - prompt 0x57a7accbc2c0:     352 tokens, checkpoints:  0,     0.000 MiB
9.38.832.461 I srv        update:    - prompt 0x57a7a8a38460:     364 tokens, checkpoints:  0,     0.000 MiB
9.38.832.461 I srv        update:    - prompt 0x57a7acd0eb00:     390 tokens, checkpoints:  0,     0.000 MiB
9.38.832.462 I srv        update:    - prompt 0x57a7aa50bd50:     459 tokens, checkpoints:  0,     0.000 MiB
9.38.832.462 I srv        update:    - prompt 0x57a7a8c452e0:     396 tokens, checkpoints:  0,     0.000 MiB
9.38.832.462 I srv        update:    - prompt 0x57a7a8c4b250:     467 tokens, checkpoints:  0,     0.000 MiB
9.38.832.462 I srv        update:    - prompt 0x57a7a8bfc0b0:     452 tokens, checkpoints:  0,     0.000 MiB
9.38.832.464 I srv        update:    - prompt 0x57a7a8c59300:     483 tokens, checkpoints:  0,     0.000 MiB
9.38.832.465 I srv        update:    - prompt 0x57a7aa4e85c0:     405 tokens, checkpoints:  0,     0.000 MiB
9.38.832.465 I srv        update:    - prompt 0x57a7ab33dea0:      15 tokens, checkpoints:  0,     0.000 MiB
9.38.832.465 I srv        update:    - prompt 0x57a7a8a37210:     515 tokens, checkpoints:  0,     0.000 MiB
9.38.832.466 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 3189346121086
9.38.832.467 I slot launch_slot_: id  1 | task 32002 | processing task, is_child = 0
9.38.832.468 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 3189346121092
9.38.832.470 I slot launch_slot_: id  2 | task 32001 | processing task, is_child = 0
9.38.832.471 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 3189346121098
9.38.832.472 I slot launch_slot_: id  3 | task 32000 | processing task, is_child = 0
9.38.899.803 I slot      release: id  0 | task 32003 | stop processing: n_tokens = 112, truncated = 0
9.38.899.809 I slot      release: id  1 | task 32002 | stop processing: n_tokens = 420, truncated = 0
9.38.899.815 I slot      release: id  2 | task 32001 | stop processing: n_tokens = 401, truncated = 0
9.38.899.820 I slot      release: id  3 | task 32000 | stop processing: n_tokens = 449, truncated = 0
9.38.899.822 I srv  update_slots: all slots are idle
10.57.811.727 I srv    operator(): operator(): cleaning up before exit...
