stratum,endpoint,contrast,contrast_label,estimate,missing_lower,missing_upper,p_value,n_paired,kind,registered_threshold,least_favourable_pass
main96,ORDERED_O,R1_MINUS_R0,R1−R0,0.02564102564102564,-0.07291666666666663,0.16666666666666674,0.979720202797972,78,superiority,0.15,False
main96,ORDERED_O,C_DN_X,C: DN−X,0.014084507042253521,-0.09375,0.1875,0.999960000399996,71,superiority,0.15,False
main96,ORDERED_O,C_DN_CO,C: DN−CO,-0.012987012987012988,-0.11458333333333337,0.11458333333333326,0.999750002499975,77,superiority,0.1,False
main96,ORDERED_O,C_DN_N0,C: DN−N0,0.05,-0.05208333333333337,0.11458333333333326,0.8785312146878531,80,superiority,0.1,False
main96,ORDERED_O,R1_DN_X,R1: DN−X,0.125,0.05208333333333337,0.14583333333333337,0.7060429395706043,88,superiority,0.15,False
main96,ORDERED_O,R1_DN_CO,R1: DN−CO,-0.011494252873563218,-0.07291666666666663,0.03125,0.996920030799692,87,superiority,0.1,False
main96,ORDERED_O,R1_DN_N0,R1: DN−N0,0.10112359550561797,0.04166666666666663,0.125,0.4999150008499915,89,superiority,0.1,False
sealed32,U,S_DN_UF,S: DN−UF,0.05555555555555556,-0.09375,0.15625,0.21612783872161279,24,equivalence,0.1,False
sealed32,U,C_DN_UF,C: DN−UF,-0.011904761904761906,-0.04166666666666674,0.08333333333333326,1.0,28,superiority,0.15,False
sealed32,U,C_MINUS_S,C−S,-0.060606060606060615,-0.19791666666666674,0.17708333333333326,0.999390006099939,22,superiority,0.15,False
sealed32,U,R0_DN_UF,R0: DN−UF,-0.04938271604938272,-0.10416666666666663,0.05208333333333337,0.043279567204327955,27,equivalence,0.1,False
sealed32,U,R1_DN_UF,R1: DN−UF,0.0,-0.03125,0.09375,1.0,28,superiority,0.15,False
sealed32,U,R1_MINUS_R0,R1−R0,0.05555555555555556,-0.08333333333333337,0.19791666666666663,0.997440025599744,24,superiority,0.15,False
sealed32,U,C_DN_X,C: DN−X,-0.01388888888888889,-0.04166666666666674,0.20833333333333326,1.0,24,superiority,0.15,False
sealed32,U,C_DN_CO,C: DN−CO,-0.022222222222222223,-0.05208333333333337,0.01041666666666663,1.0,30,superiority,0.1,False
sealed32,U,C_DN_N0,C: DN−N0,0.03333333333333333,0.0,0.0625,0.943120568794312,30,superiority,0.1,False
sealed32,U,R1_DN_X,R1: DN−X,0.03225806451612903,0.0,0.03125,0.999990000099999,31,superiority,0.15,False
