metric,delta_pair_mean,delta_pair_std,auc_orig,auc_sub,drop_auc
s1_byte,0.9851684421300888,0.013529446856579933,0.7644949494949494,0.7729797979797979,-0.008484848484848428
s2_char,0.9511037609666585,0.05755055108325816,0.5840656565656566,0.5840151515151516,5.0505050504967564e-05
s3_2g,0.8116161793691498,0.10876382456446755,0.6710606060606059,0.6687121212121212,0.002348484848484711
s4_3g,0.7479417340890723,0.13212583538984948,0.9112121212121213,0.8987121212121213,0.012499999999999956
s5_lev,0.8889609779455072,0.07335544851783694,0.5628535353535353,0.5563636363636363,0.006489898989899046
s6_bm25,0.748797930636351,0.12824595296404828,0.9715909090909091,0.9726010101010101,-0.0010101010101010166
