metric,delta_pair,auc_orig,auc_sub,drop_auc
s1_byte,0.9551768153905869,0.7630303030303032,0.7262626262626262,0.036767676767677004
s2_char,0.88610079454457,0.5802272727272727,0.5742676767676768,0.0059595959595959425
s3_2g,0.5985204967537548,0.6696969696969697,0.6503282828282828,0.01936868686868687
s4_3g,0.47424441585217136,0.9112878787878788,0.851010101010101,0.06027777777777776
s5_lev,0.7153982074268868,0.5593181818181818,0.5484848484848485,0.010833333333333361
s6_bm25,0.45989028047437513,0.9725505050505049,0.9544696969696969,0.01808080808080803
