dataset,n_queries,bm25_ndcg10,s1_ndcg10,s4_ndcg10,maofield_ndcg10,bm25_p10,s1_p10,s4_p10,maofield_p10
nfcorpus,323,0.30632221168269674,0.13660502801123323,0.2401175654016554,0.056456567794185446,0.21733746130030962,0.11733746130030959,0.178328173374613,0.05820433436532508
scifact,300,0.6594488905317624,0.19202033082059464,0.4109924192649119,0.040265774019484946,0.08533333333333332,0.03200000000000001,0.059,0.009666666666666667
